scope,store_id,term,coefficient,p_value,ci_lower,ci_upper,r_squared,n_obs,fit_quality
Store 15,15,holiday_flag,85164.513186,0.224986,-52401.452668,222730.479040,0.069470,143,low
Store 16,16,fuel_price,-39830.461616,0.297393,-114747.189872,35086.266640,0.059760,143,low
Store 16,16,cpi,10071.138231,0.191988,-5057.833436,25200.109898,0.059760,143,low
Store 16,16,unemployment,24104.369634,0.802407,-164694.739608,212903.478876,0.059760,143,low
Store 16,16,holiday_flag,43034.864079,0.165082,-17725.865706,103795.593864,0.059760,143,low
Store 17,17,fuel_price,45771.533574,0.446632,-72107.083517,163650.150666,0.180046,143,low
Store 17,17,cpi,9136.247356,0.549184,-20758.940544,39031.435255,0.180046,143,low
Store 17,17,unemployment,-34762.911907,0.343156,-106638.167100,37112.343285,0.180046,143,low
Store 17,17,holiday_flag,105150.528927,0.141250,-34937.958786,245239.016640,0.180046,143,low
Store 18,18,fuel_price,-133173.451376,0.001266,-214146.019808,-52200.882945,0.095430,143,low
Store 18,18,cpi,-2012.942073,0.865071,-25231.101486,21205.217340,0.095430,143,low
Store 18,18,unemployment,-54986.903304,0.430741,-191766.941192,81793.134585,0.095430,143,low
Store 18,18,holiday_flag,77029.849048,0.389162,-98291.341580,252351.039677,0.095430,143,low
Store 19,19,fuel_price,-63731.879674,0.585650,-292864.991661,165401.232314,0.068509,143,low
Store 19,19,cpi,-1672.861108,0.937650,-43587.808916,40242.086700,0.068509,143,low
Store 19,19,unemployment,23804.684791,0.869617,-260433.205373,308042.574955,0.068509,143,low
Store 19,19,holiday_flag,134613.001245,0.096064,-23919.806983,293145.809472,0.068509,143,low
Store 20,20,fuel_price,-138800.416147,0.101294,-304821.464448,27220.632155,0.044568,143,low
Store 20,20,cpi,7391.263900,0.425953,-10804.887294,25587.415095,0.044568,143,low
Store 20,20,unemployment,-159162.274772,0.129466,-364907.142691,46582.593146,0.044568,143,low
Store 20,20,holiday_flag,139245.062805,0.247090,-96545.898636,375036.024245,0.044568,143,low
Store 21,21,fuel_price,-86268.053901,0.138932,-200529.785869,27993.678067,0.118847,143,low
Store 21,21,cpi,35291.600568,0.078504,-4022.357549,74605.558686,0.118847,143,low
Store 21,21,unemployment,246707.588117,0.021608,36216.077164,457199.099069,0.118847,143,low
Store 21,21,holiday_flag,56930.403866,0.430970,-84754.589213,198615.396945,0.118847,143,low
Store 22,22,fuel_price,-53691.524405,0.131654,-123492.925702,16109.876892,0.016801,143,low
Store 22,22,cpi,11345.642196,0.299364,-10081.515985,32772.800378,0.016801,143,low
Store 22,22,unemployment,39104.249076,0.676006,-144287.643181,222496.141332,0.016801,143,low
Store 22,22,holiday_flag,56237.715770,0.524248,-116849.564009,229324.995549,0.016801,143,low
Store 23,23,fuel_price,-90532.936922,0.234113,-239664.511909,58598.638065,0.021834,143,low
Store 23,23,cpi,20875.001745,0.462243,-34778.689994,76528.693484,0.021834,143,low
Store 23,23,unemployment,-12011.619564,0.933017,-292111.057212,268087.818084,0.021834,143,low
Store 23,23,holiday_flag,74319.914939,0.511859,-147747.927343,296387.757221,0.021834,143,low
Store 24,24,fuel_price,-133866.872078,0.041763,-262742.203523,-4991.540633,0.069119,143,low
Store 24,24,cpi,31314.654036,0.195054,-16051.346242,78680.654314,0.069119,143,low
Store 24,24,unemployment,-100458.085107,0.368681,-319485.840948,118569.670734,0.069119,143,low
Store 24,24,holiday_flag,118240.668567,0.052638,-1347.481156,237828.818290,0.069119,143,low
Store 25,25,fuel_price,-61644.309038,0.068755,-128028.380852,4739.762776,0.025046,143,low
Store 25,25,cpi,3011.515674,0.411159,-4170.348906,10193.380253,0.025046,143,low
Store 25,25,unemployment,-36971.994686,0.412272,-125352.958630,51408.969258,0.025046,143,low
Store 25,25,holiday_flag,29682.453929,0.659463,-102340.671942,161705.579800,0.025046,143,low
Store 26,26,fuel_price,-32328.053455,0.381767,-104770.912150,40114.805240,0.089070,143,low
Store 26,26,cpi,33379.960109,0.002929,11389.804624,55370.115594,0.089070,143,low
Store 26,26,unemployment,133441.113110,0.067722,-9722.943402,276605.169623,0.089070,143,low
